Número	Animal/Objeto	Medida	L/A
314	la distacia Lisboa-Oporto	kilómetro	larga
315		metro	
316		metro	
317		metro	
318		metro	
319	el edificio Chrysler	metro	alta
320	la red de carreteras de Andorra	kilómetro	larga
321		metro	
322	la Q1 Tower	metro	alta
323		metro	
324		metro	
325		metro	
326		metro	
327		metro	
328		metro	
329		metro	
330	el Hotel Ryugyong	metro	alta
331		metro	
332		metro	
333	la Torre Tokyo	metro	alta
334		metro	
335		metro	
336		metro	
337		metro	
338		metro	
339		metro	
340	un Camello	centímetro	larga
341		metro	
342		metro	
343	la distancia Alicante-Palma	kilómetro	larga
344	la Torre de los Vengadores	metro	alta
345	el RMS Queen Mary	metro	larga
346	el río Tamesis	kilómetro	larga
347		metro	
348		metro	
349	la distancia València-Barcelona	kilómetro	larga
350	el Huracán Jose 	kilómetro	larga
351		metro	
352		metro	
353		metro	
354		metro	
355		metro	
356		metro	
357		metro	
358		metro	
359		metro	
360	la distacia Valencia-Madrid	kilómetro	larga
361		metro	
362		metro	
363	la distancia Asturias-Madrid	kilómetro	larga
364		metro	
365		metro	
366		metro	
367	la Torre del Banco de China	metro	alta
368	el Fernsehturum de Berlín	metro	alta
369		metro	
370		metro	
371		metro	
372		metro	
373		metro	
374		metro	
375		metro	
376		metro	
377		metro	
378		metro	
379		metro	
380		metro	
381	el Empire State	metro	
382		metro	
383		metro	
384		metro	
385		metro	
386		metro	
387		metro	
388		metro	
389		metro	
390	un Pelícano	centímetro	larga
391		metro	
392		metro	
393		metro	
394		metro	
395		metro	
396	la luna Mimas	kilómetro	larga
397		metro	
398		metro	
399	el Huracán Harvey	kilómetro	larga
400	un Rinoceronte Blanco	centímetro	larga
401	el Madrid Maersk	metro	larga
402		metro	
403		metro	
404		metro	
405		metro	
406		metro	
407		metro	
408		metro	
409		metro	
410		metro	
411		metro	
412	la Catedral de Arucas	metro	alta
413		metro	
414		metro	
415		metro	
416	la distancia Oslo-Estocolmo	kilómetro	larga
417		metro	
418		metro	
419		metro	
420	la estatua de Lamassu	centímetro	alta
421		metro	
422		metro	
423		metro	
424		metro	
425	el edificio Marina 101	metro	alta
426		metro	
427		metro	
428	la red de carreteras de Macau	kilómetro	larga
429		metro	
430	Los Pirineos	metro	alta
431		metro	
432		metro	
433		metro	
434		metro	
435		metro	
436		metro	
437		metro	
438		metro	
439		metro	
440		metro	
441		metro	
442		metro	
443		metro	
444		metro	
445		metro	
446		metro	
447		metro	
448		metro	
449		metro	
450	un Gusano de Arena (Dune)	metro	larga
451		metro	
452		metro	
453		metro	
454		metro	
455		metro	
456		metro	
457		metro	
458		metro	
459		metro	
460		metro	
461		metro	
462		metro	
463		metro	
464	la distancia París-Lyon	kilómetro	larga
465		metro	
466		metro	
467		metro	
468		metro	
469		metro	
470		metro	
471	la Central Park Tower	metro	alta
472	la estatua del Oso y el Madroño	centímetro	alta
473		metro	
474		metro	
475		metro	
476		metro	
477		metro	
478		metro	
479		metro	
480		metro	
481		metro	
482		metro	
483		metro	
484		metro	
485		metro	
486		metro	
487		metro	
488		metro	
489		metro	
490		metro	
491		metro	
492		metro	
493		metro	
494	el Shangai World Financial Center	metro	alta
495		metro	
496		metro	
497		metro	
498		metro	
499		metro	
500	el Castillo de Pedra (Sax)	metro	alta
501		metro	
502		metro	
503	la luna Enceladus	kilómetro	larga
504	la distancia Berlin-Munich	kilómetro	larga
505		metro	
506		metro	
507		metro	
508	el Taipei 101	metro	alta
509		metro	
510		metro	
511		metro	
512		metro	
513		metro	
514		metro	
515		metro	
516	el puente Charles	metro	larga
517		metro	
518		metro	
519		metro	
520	un Hipopótamo	centímetro	larga
521	el Megatsunami de Lituya Bay	metro	alta
522		metro	
523		metro	
524		metro	
525		metro	
526		metro	
527		metro	
528		metro	
529		metro	
530		metro	
531		metro	
532		metro	
533		metro	
534		metro	
535		metro	
536		metro	
537		metro	
538		metro	
539	la distancia París-Ginebra	kilómetro	larga
540	la Torre Ostánkino	metro	alta
541		metro	
542		metro	
543		metro	
544		metro	
545		metro	
546		metro	
547		metro	
548		metro	
549		metro	
550		metro	
551		metro	
552		metro	
553		metro	
554		metro	
555		metro	
556		metro	
557		metro	
558		metro	
559		metro	
560	el Huracán Luis	kilómetro	larga
561		metro	
562		metro	
563		metro	
564		metro	
565		metro	
566		metro	
567		metro	
568		metro	
569		metro	
570	Madagascar de Este a Oeste	kilómetro	larga
571		metro	
572		metro	
573		metro	
574		metro	
575		metro	
576		metro	
577		metro	
578		metro	
579		metro	
580		metro	
581		metro	
582		metro	
583		metro	
584		metro	
585		metro	
586		metro	
587		metro	
588		metro	
589		metro	
590		metro	
591		metro	
592		metro	
593		metro	
594		metro	
595		metro	
596		metro	
597		metro	
598		metro	
599		metro	
600	la Meca Abraj Al Bait	metro	alta
601	la distacia Madrid-Santiago	kilómetro	larga
602		metro	
603		metro	
604		metro	
605		metro	
606		metro	
607		metro	
608		metro	
609	el Project Habakkuk	metro	larga
610		metro	
611		metro	
612	la distancia València-Bilbao	kilómetro	larga
613		metro	
614		metro	
615		metro	
616		metro	
617		metro	
618		metro	
619		metro	
620	el Huracán Katrina	kilómetro	larga
621		metro	
622		metro	
623		metro	
624		metro	
625		metro	
626		metro	
627		metro	
628		metro	
629		metro	
630		metro	
631		metro	
632	la Torre Shangai	metro	alta
633		metro	
634		metro	
635		metro	
636		metro	
637		metro	
638		metro	
639		metro	
640		metro	
641		metro	
642		metro	
643		metro	
644		metro	
645	el Huracán Irma	kilómetro	larga
646		metro	
647		metro	
648		metro	
649		metro	
650		metro	
651		metro	
652		metro	
653		metro	
654		metro	
655		metro	
656		metro	
657		metro	
658		metro	
659		metro	
660	el Ping An Finance Center	metro	alta
661	la luna Aegaeon	kilómetro	larga
662		metro	
663		metro	
664		metro	
665		metro	
666		metro	
667		metro	
668		metro	
669		metro	
670		metro	
671		metro	
672		metro	
673	la distacia València-Sevilla	metro	larga
674		metro	
675		metro	
676		metro	
677		metro	
678		metro	
679		metro	
680		metro	
681		metro	
682		metro	
683		metro	
684		metro	
685		metro	
686		metro	
687		metro	
688		metro	
689		metro	
690		metro	
691		metro	
692		metro	
693		metro	
694		metro	
695		metro	
696		metro	
697		metro	
698		metro	
699		metro	
700	el Huracán Dean	kilómetro	larga
701		metro	
702		metro	
703		metro	
704		metro	
705		metro	
706		metro	
707		metro	
708		metro	
709		metro	
710		metro	
711	la altura de un salto vertical en Plutón	centímetro	alta
712		metro	
713		metro	
714		metro	
715		metro	
716		metro	
717		metro	
718		metro	
719		metro	
720	Bruce (Tiburón)	centímetro	larga
721		metro	
722		metro	
723		metro	
724		metro	
725		metro	
726		metro	
727		metro	
728		metro	
729		metro	
730		metro	
731		metro	
732		metro	
733		metro	
734		metro	
735		metro	
736		metro	
737		metro	
738		metro	
739		metro	
740	la Alhambra de Granada	metro	larga
741		metro	
742		metro	
743		metro	
744		metro	
745		metro	
746		metro	
747		metro	
748		metro	
749		metro	
750	la Península ibérica de Norte a Sud	kilómetro	larga
751		metro	
752		metro	
753		metro	
754		metro	
755		metro	
756		metro	
757		metro	
758		metro	
759		metro	
760		metro	
761		metro	
762		metro	
763		metro	
764		metro	
765		metro	
766		metro	
767	la estatua del David de Miguel Ángel	centímetro	alta
768		metro	
769		metro	
770		metro	
771		metro	
772		metro	
773	la altura de un salto vertical en Phobos	metro	alta
774		metro	
775	el río Sena	kilómetro	larga
776		metro	
777		metro	
778		metro	
779		metro	
780		metro	
781		metro	
782		metro	
783		metro	
784		metro	
785	la red de carreteras de las Islas Caimán	kilómetro	larga
786		metro	
787		metro	
788		metro	
789		metro	
790	el Puente Romano de Mérida	metro	larga
791		metro	
792		metro	
793		metro	
794		metro	
795		metro	
796		metro	
797		metro	
798		metro	
799		metro	
800	el Huracán Mattew 	kilómetro	larga
801		metro	
802		metro	
803		metro	
804		metro	
805		metro	
806		metro	
807		metro	
808		metro	
809		metro	
810	la SpaceX Dragon	centímetro	alta
811		metro	
812		metro	
813		metro	
814		metro	
815		metro	
816		metro	
817		metro	
818		metro	
819		metro	
820		metro	
821		metro	
822		metro	
823		metro	
824		metro	
825		metro	
826		metro	
827		metro	
828	el Burj Khalifa	metro	alta
829		metro	
830		metro	
831		metro	
832		metro	
833		metro	
834		metro	
835		metro	
836		metro	
837		metro	
838		metro	
839		metro	
840		metro	
841		metro	
842		metro	
843		metro	
844		metro	
845		metro	
846		metro	
847		metro	
848		metro	
849		metro	
850		metro	
851		metro	
852		metro	
853		metro	
854		metro	
855		metro	
856		metro	
857		metro	
858		metro	
859		metro	
860		metro	
861		metro	
862		metro	
863		metro	
864		metro	
865		metro	
866		metro	
867		metro	
868		metro	
869		metro	
870		metro	
871		metro	
872		metro	
873		metro	
874		metro	
875		metro	
876		metro	
877		metro	
878		metro	
879		metro	
880		metro	
881		metro	
882		metro	
883		metro	
884		metro	
885		metro	
886		metro	
887		metro	
888		metro	
889		metro	
